column_name,data_type,family,description,is_available,reasoning
Residence_Addresses_PrefixDirection,STRING,identity_pii,Residence Addresses PrefixDirection,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Residence_Addresses_StreetName,STRING,identity_pii,Residence Addresses StreetName,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Residence_Addresses_Designator,STRING,identity_pii,Residence Addresses Designator,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Residence_Addresses_SuffixDirection,STRING,identity_pii,Residence Addresses SuffixDirection,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Residence_Addresses_ApartmentNum,STRING,identity_pii,Residence Addresses ApartmentNum,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Residence_Addresses_ApartmentType,STRING,identity_pii,Residence Addresses ApartmentType,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Residence_Addresses_CassErrStatCode,STRING,identity_pii,CASS Certification Error Status Code,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Residence_Addresses_CensusTract,INT,geography,"2020 Census tract of the voter's residence (geographic aggregation unit, not a street address).",true,"Geographic / district context - non-PII, non-partisan; included."
Residence_Addresses_CensusBlockGroup,INT,geography,"2020 Census block group of the voter's residence (geographic aggregation unit, not a street address).",true,"Geographic / district context - non-PII, non-partisan; included."
Residence_Addresses_CensusBlock,INT,identity_pii,4 digit number,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Residence_Addresses_Complete_Census_Geocode,LONG,identity_pii,Residence Addresses Complete Census Geocode,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Residence_Addresses_Latitude,DOUBLE,identity_pii,Residence Addresses Latitude,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Residence_Addresses_Longitude,DOUBLE,identity_pii,Residence Addresses Longitude,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Residence_Addresses_LatLongAccuracy,STRING,identity_pii,"See File Layout document, LatLongAccuracy Codes tab",false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Residence_Families_FamilyID,STRING,identity_pii,Unique alpha-numeric ID starting with an 'R' for 'Residence' that is common to all members of a residence household address but different from all other residence households.,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Residence_Addresses_Property_Land_Square_Footage,INT,identity_pii,The square footage of the property lot on which this residence resides.,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Residence_Addresses_Property_Type,STRING,identity_pii,"Agricultural, Apartment, Commercial Condo, Condominium, Duplex, Mobil Home, Residential, Unknown",false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Voters_SequenceZigZag,INT,operational,sequence number for this file sorting records in ascending order by house number along street within precinct,false,Internal/ETL metadata - not exposed to the agent.
Voters_SequenceOddEven,INT,operational,"sequence number for this file sorting records in ascending order by house number, first the odd numbers then the even numbers along street within precinct",false,Internal/ETL metadata - not exposed to the agent.
Mailing_Addresses_AddressLine,STRING,identity_pii,Mailing Addresses AddressLine,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Mailing_Addresses_ExtraAddressLine,STRING,identity_pii,Mailing Addresses ExtraAddressLine,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Mailing_Addresses_City,STRING,identity_pii,Mailing Addresses City,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Mailing_Addresses_State,STRING,identity_pii,Mailing Addresses State,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Mailing_Addresses_Zip,INT,identity_pii,Mailing Addresses Zip,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Mailing_Addresses_ZipPlus4,INT,identity_pii,Mailing Addresses ZipPlus4,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Mailing_Addresses_DPBC,INT,identity_pii,Mailing Address Delivery Point Barcode Numeric Value,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Mailing_Addresses_CheckDigit,INT,identity_pii,Mailing address delivery point check digit which validates accuracy of zip+4 and DPC,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Mailing_Addresses_HouseNumber,STRING,identity_pii,Mailing Addresses HouseNumber,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Mailing_Addresses_PrefixDirection,STRING,identity_pii,Mailing Addresses PrefixDirection,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Mailing_Addresses_StreetName,STRING,identity_pii,Mailing Addresses StreetName,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Mailing_Addresses_Designator,STRING,identity_pii,Mailing Addresses Designator,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Mailing_Addresses_SuffixDirection,STRING,identity_pii,Mailing Addresses SuffixDirection,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Mailing_Addresses_ApartmentNum,STRING,identity_pii,Mailing Addresses ApartmentNum,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Mailing_Addresses_ApartmentType,STRING,identity_pii,Mailing Addresses ApartmentType,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Mailing_Addresses_CassErrStatCode,STRING,identity_pii,Mailing Address CASS Error Certification Code,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Mailing_Families_FamilyID,STRING,identity_pii,Unique alpha-numeric ID starting with an 'M' for 'Mailing' that is common to all members of a mailing household address but different from all other mailing households.,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Phone_Number_Available,BOOLEAN,identity_pii,Phone Number Available,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Landline_Phone_Number_Available,BOOLEAN,identity_pii,Landline Phone Number Available,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
VoterTelephones_LandlineAreaCode,INT,identity_pii,VoterTelephones LandlineAreaCode,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
VoterTelephones_LandlineUnformatted,LONG,identity_pii,VoterTelephones LandlineUnformatted,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
VoterTelephones_LandlineConfidenceCode,INT,identity_pii,1 = highest confidence,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
VoterTelephones_Landline7Digit,STRING,identity_pii,VoterTelephones Landline7Digit,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
VoterTelephones_LandlineFormatted,STRING,identity_pii,VoterTelephones LandlineFormatted,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Cell_Phone_Number_Available,BOOLEAN,identity_pii,Cell Phone Number Available,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
VoterTelephones_CellPhoneUnformatted,LONG,identity_pii,VoterTelephones CellPhoneUnformatted,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
VoterTelephones_CellConfidenceCode,INT,identity_pii,1 = highest confidence,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
VoterTelephones_CellPhoneFormatted,STRING,identity_pii,VoterTelephones CellPhoneFormatted,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
VoterTelephones_CellPhoneOnly,BOOLEAN,identity_pii,This voter's only telephone number is a cell phone.,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
ConsumerData_Do_Not_Call,BOOLEAN,identity_pii,"The telephone number on this record is found on the National Do Not Call List shortly before this file was prepared. Note that for commercial calling, telephone numbers should always be run through a new DNC match just prior to calling. THIS CODE IS NOT GUARANTEED TO BE CURRENT.",false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Voters_Gender,STRING,demographic,"'M', 'F' or blank.",true,"Demographic attribute - non-PII, non-partisan; included."
Voters_Age,INT,demographic,Age is based on current year minus year of birth.,true,"Demographic attribute - non-PII, non-partisan; included."
Voters_BirthDate,DATE,identity_pii,"As reported by election authority or matched in from commercial sources. The format is '99/99/9999'; note that in some cases where year of birth only is available, birthdate will be set to '1/1/9999'",false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
BirthDateConfidence_Description,STRING,identity_pii,"Identifies whether birth date is complete or is partial and if the latter, which elements are correct.",false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
ConsumerData_Education_of_Person,STRING,demographic,Modeled likely level of education of person.,true,"Household / demographic attribute - non-PII, non-partisan; included."
CountyEthnic_Description,STRING,demographic,As reported by election authority.,true,"Demographic attribute - non-PII, non-partisan; included."
CountyEthnic_LALEthnicCode,INT,demographic,"See File Layout document, Ethnic tab",true,"Demographic attribute - non-PII, non-partisan; included."
Ethnic_Description,STRING,demographic,Ethnic Description,true,"Demographic attribute - non-PII, non-partisan; included."
EthnicGroups_EthnicGroup1Desc,STRING,demographic,"See File Layout document, Ethnic tab",true,"Demographic attribute - non-PII, non-partisan; included."
ConsumerData_Hispanic_Country_Code,STRING,demographic,Likely Hispanic country of origin.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Inferred_HH_Rank,INT,household,Indicates the Inferred household rank of the individual name appearing on customer's file. Rank is a rank that is assigned to each individual in the household based on age.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Language_Code,STRING,demographic,"Modeled using both first and last name applying ethnolinguistic and geocentric rules to both the surname prefix and suffix and identifies the specific ethnic, religious, and minority status of individuals",true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Marital_Status,STRING,demographic,Inferred marital status of individual.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Single_Parent_in_Household,STRING,household,Modeled and self-reported data that a single parent lives at this household.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerDataLL_Veteran,STRING,demographic,Yes or null,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_African_American_Professional_in_Household,STRING,commercial,Household-level data from surveys and online registration,false,Commercial / consumer-lifestyle attribute - excluded (civic-only set).
ConsumerData_Business_Owner,STRING,commercial,Someone within the household has self-reported as a business owner.,false,Commercial / consumer-lifestyle attribute - excluded (civic-only set).
ConsumerData_Occupation_Group,STRING,commercial,Indicates the grouped occupation of the input individual's name appearing on the customer's file.,false,Commercial / consumer-lifestyle attribute - excluded (civic-only set).
ConsumerData_Occupation_of_Person,STRING,commercial,"From public data, buying activity, self-reported data, modeled data, area level data",false,Commercial / consumer-lifestyle attribute - excluded (civic-only set).
ConsumerData_LikelyRecentEmployment_Company_Name,STRING,commercial,Company at which individual was recently or currently employed.,false,Commercial / consumer-lifestyle attribute - excluded (civic-only set).
ConsumerData_LikelyRecentEmployment_Executive_Level,STRING,commercial,Standardized Executive Level name,false,Commercial / consumer-lifestyle attribute - excluded (civic-only set).
ConsumerData_LikelyRecentEmployment_Executive_Department,STRING,commercial,Standardized names of executive departments,false,Commercial / consumer-lifestyle attribute - excluded (civic-only set).
ConsumerData_LikelyRecentEmployment_Standardized_Title,STRING,commercial,Standardized employee title at this company.,false,Commercial / consumer-lifestyle attribute - excluded (civic-only set).
Voters_PlaceOfBirth,STRING,demographic,Unformatted and non-standardized text field available only in some states.,true,"Demographic attribute - non-PII, non-partisan; included."
Voters_Active,STRING,turnout,"A = Active, I = Inactive",true,"Turnout / registration (whether, not how) - non-partisan; included."
Voters_CalculatedRegDate,DATE,turnout,format '99/99/9999'; calculated reg date will be the same as official reg date except in those cases where the county has used it as a record update field in which case the calculated registration date will be set to 30 days prior to the oldest recorded vote date as a better indicator of the true registration date of the voter,true,"Turnout / registration (whether, not how) - non-partisan; included."
Voters_OfficialRegDate,STRING,turnout,As reported by election authority.,true,"Turnout / registration (whether, not how) - non-partisan; included."
AbsenteeTypes_Description,STRING,turnout,"Military, Long Term, In State, Out of State, Permanent Out of Country, Mail Precinct, Special, Temporary, Permanent U.S., Federal",true,"Turnout / registration (whether, not how) - non-partisan; included."
Parties_Description,STRING,partisan,"Full name of official party. Note that in 17 states, the party will be modeled by L2 rather than being reported as an official party of registration by the state. See the File Layout document, Parties tab, for further details.",false,Party registration / partisan model - excluded for Serve.
VoterParties_Change_Changed_Party,STRING,partisan,"Voter changed party affiliation between Dem and Rep; values are 'Within Last 1 Year', 'Between 1 and 2 Years Ago', 'Between 2 and 4 Years Ago' and null. This field is not available in states where party affiliation is modeled by L2.",false,Party registration / partisan model - excluded for Serve.
ConsumerData_Progressive_Democrat_Flag,STRING,partisan,Y or null,false,Party registration / partisan model - excluded for Serve.
ConsumerData_Progressive_Democrat_Score,DOUBLE,partisan,0 to 100,false,Party registration / partisan model - excluded for Serve.
ConsumerData_Moderate_Democrat_Flag,STRING,partisan,Y or null,false,Party registration / partisan model - excluded for Serve.
ConsumerData_Moderate_Democrat_Score,DOUBLE,partisan,0 to 100,false,Party registration / partisan model - excluded for Serve.
ConsumerData_Moderate_Republican_Flag,STRING,partisan,Y or null,false,Party registration / partisan model - excluded for Serve.
ConsumerData_Moderate_Republican_Score,DOUBLE,partisan,0 to 100,false,Party registration / partisan model - excluded for Serve.
ConsumerData_Conservative_Republican_Flag,STRING,partisan,Y or null,false,Party registration / partisan model - excluded for Serve.
ConsumerData_Conservative_Republican_Score,DOUBLE,partisan,0 to 100,false,Party registration / partisan model - excluded for Serve.
ConsumerData_Reserved_01,STRING,commercial,ConsumerData Reserved 01,false,Commercial / consumer-lifestyle attribute - excluded (civic-only set).
ConsumerData_Reserved_02,STRING,commercial,ConsumerData Reserved 02,false,Commercial / consumer-lifestyle attribute - excluded (civic-only set).
ConsumerData_Reserved_03,STRING,commercial,ConsumerData Reserved 03,false,Commercial / consumer-lifestyle attribute - excluded (civic-only set).
ConsumerData_Reserved_04,STRING,commercial,ConsumerData Reserved 04,false,Commercial / consumer-lifestyle attribute - excluded (civic-only set).
ConsumerData_Reserved_05,STRING,commercial,ConsumerData Reserved 05,false,Commercial / consumer-lifestyle attribute - excluded (civic-only set).
ConsumerData_Reserved_06,STRING,commercial,ConsumerData Reserved 06,false,Commercial / consumer-lifestyle attribute - excluded (civic-only set).
ConsumerData_Reserved_07,STRING,commercial,ConsumerData Reserved 07,false,Commercial / consumer-lifestyle attribute - excluded (civic-only set).
ConsumerData_Reserved_08,STRING,commercial,ConsumerData Reserved 08,false,Commercial / consumer-lifestyle attribute - excluded (civic-only set).
ConsumerData_Reserved_09,STRING,commercial,ConsumerData Reserved 09,false,Commercial / consumer-lifestyle attribute - excluded (civic-only set).
ConsumerData_Reserved_10,STRING,commercial,ConsumerData Reserved 10,false,Commercial / consumer-lifestyle attribute - excluded (civic-only set).
ConsumerData_Reserved_11,STRING,commercial,ConsumerData Reserved 11,false,Commercial / consumer-lifestyle attribute - excluded (civic-only set).
ConsumerData_Reserved_12,STRING,commercial,ConsumerData Reserved 12,false,Commercial / consumer-lifestyle attribute - excluded (civic-only set).
ConsumerData_Reserved_13,STRING,commercial,ConsumerData Reserved 13,false,Commercial / consumer-lifestyle attribute - excluded (civic-only set).
ConsumerData_Reserved_14,STRING,commercial,ConsumerData Reserved 14,false,Commercial / consumer-lifestyle attribute - excluded (civic-only set).
ConsumerData_Religion_Code,STRING,demographic,Indicates the predominant religion of the individual in the household.,false,Religion - sensitive demographic; excluded pending explicit sign-off.
ConsumerData_Females_in_HH_18_24,STRING,household,Presence of household members by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Females_in_HH_25_34,STRING,household,Presence of household members by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Females_in_HH_35_44,STRING,household,Presence of household members by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Females_in_HH_45_54,STRING,household,Presence of household members by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Females_in_HH_55_64,STRING,household,Presence of household members by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Females_in_HH_65_74,STRING,household,Presence of household members by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Females_in_HH_75_Plus,STRING,household,Presence of household members by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Males_in_HH_18_24,STRING,household,Presence of household members by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Males_in_HH_25_34,STRING,household,Presence of household members by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Males_in_HH_35_44,STRING,household,Presence of household members by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Males_in_HH_45_54,STRING,household,Presence of household members by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Males_in_HH_55_64,STRING,household,Presence of household members by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Males_in_HH_65_74,STRING,household,Presence of household members by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Males_in_HH_75_Plus,STRING,household,Presence of household members by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Unknown_Gender_in_HH_18_24,STRING,household,Presence of household members by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Unknown_Gender_in_HH_25_34,STRING,household,Presence of household members by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Unknown_Gender_in_HH_35_44,STRING,household,Presence of household members by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Unknown_Gender_in_HH_45_54,STRING,household,Presence of household members by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Unknown_Gender_in_HH_55_64,STRING,household,Presence of household members by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Unknown_Gender_in_HH_65_74,STRING,household,Presence of household members by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Unknown_Gender_in_HH_75_Plus,STRING,household,Presence of household members by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Children_in_HH_Age_00_02,STRING,household,Presence of children in household by age.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Children_in_HH_Age_00_02_Female,STRING,household,Presence of children in household by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Children_in_HH_Age_00_02_Male,STRING,household,Presence of children in household by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Children_in_HH_Age_00_02_Unknown,STRING,household,Presence of children in household by age and gender where gender is unknown.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Children_in_HH_Age_11_15,STRING,household,Presence of children in household by age.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Children_in_HH_Age_11_15_Female,STRING,household,Presence of children in household by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Children_in_HH_Age_11_15_Male,STRING,household,Presence of children in household by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Children_in_HH_Age_11_15_Unknown,STRING,household,Presence of children in household by age and gender where gender is unknown.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Children_in_HH_Age_16_17,STRING,household,Presence of children in household by age.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Children_in_HH_Age_16_17_Female,STRING,household,Presence of children in household by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Children_in_HH_Age_16_17_Male,STRING,household,Presence of children in household by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Children_in_HH_Age_16_17_Unknown,STRING,household,Presence of children in household by age and gender where gender is unknown.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Children_in_HH_Age_03_05,STRING,household,Presence of children in household by age.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Children_in_HH_Age_03_05_Female,STRING,household,Presence of children in household by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Children_in_HH_Age_03_05_Male,STRING,household,Presence of children in household by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Children_in_HH_Age_03_05_Unknown,STRING,household,Presence of children in household by age and gender where gender is unknown.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Children_in_HH_Age_06_10,STRING,household,Presence of children in household by age.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Children_in_HH_Age_06_10_Female,STRING,household,Presence of children in household by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Children_in_HH_Age_06_10_Male,STRING,household,Presence of children in household by age and gender.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Children_in_HH_Age_06_10_Unknown,STRING,household,Presence of children in household by age and gender where gender is unknown.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Number_Of_Adults_in_HH,INT,household,Indicates the number of adults in the household. An adult is anyone 18 years old or older living in a household. Not limited to voters.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Number_Of_Children_in_HH,INT,household,Number of children found in household.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Number_Of_Persons_in_HH,INT,household,Indicates the total number of occupants in the household. Household size is calculated by adding Number of Adults and Number of Children and is not limited to voters.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Disabled_In_HH,STRING,household,Someone in the household is disabled.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Generations_In_HH,INT,household,Number of generations found within household.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Presence_Of_Children_in_HH,STRING,household,Indicates the known presence/absence of children age 0-17 in the household. The Number of Children feeds this element along with other contributor's data.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Senior_Adult_In_HH,STRING,household,Indicates that there is a senior adult in the household where another adult is identified as the 1st individual. (Senior adult is age 55+.).,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Veteran_In_HH,STRING,household,Someone within the household is a U.S. military veteran.,true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Young_Adult_In_HH,STRING,household,Indicates that there is a young adult in the household where another adult is identified as the 1st individual. (Young adult is ages 18 to 25.),true,"Household / demographic attribute - non-PII, non-partisan; included."
ConsumerData_Assimilation_Status,STRING,commercial,"Modeled at the individual level from Ethnicity, Language preference, Income, Socioeconomic status, Dwelling unit size and Geographic locators",false,Commercial / consumer-lifestyle attribute - excluded (civic-only set).
Residence_HHGender_Description,STRING,demographic,"Cannot Determine,Female Only Household,Male Only Household,Mixed Gender Household, based on all individuals in the HH not limited to just voters",true,"Demographic attribute - non-PII, non-partisan; included."
Residence_HHParties_Description,STRING,partisan,"Calculation based on voters sharing the same residence address rather than those sharing the same residence address. Note that in states where party affiliation is modeled rather than reported, the household party description will also be based on modeled data. (See the File Layout document, Parties tab, for details about which states have modeled party affiliation.)",false,Party registration / partisan model - excluded for Serve.
Residence_Families_HHVotersCount,INT,demographic,Residence Families HHVotersCount,true,"Demographic attribute - non-PII, non-partisan; included."
County,STRING,geography,County of the voter's residence.,true,"Geographic / district context - non-PII, non-partisan; included."
Voters_FIPS,INT,geography,County FIPS code of the voter's residence.,true,"Geographic / district context - non-PII, non-partisan; included."
County_Commissioner_District,STRING,district,County Commissioner District,true,Office-bearing district / geographic jurisdiction - non-partisan; included.
County_Supervisorial_District,STRING,district,County Supervisorial District,true,Office-bearing district / geographic jurisdiction - non-partisan; included.
Precinct,STRING,geography,Voting precinct of the voter's residence.,true,"Geographic / district context - non-PII, non-partisan; included."
US_Congressional_District,STRING,district,US Congressional District,true,Office-bearing district / geographic jurisdiction - non-partisan; included.
State_Senate_District,STRING,district,State Senate District,true,Office-bearing district / geographic jurisdiction - non-partisan; included.
State_House_District,STRING,district,State House District,true,Office-bearing district / geographic jurisdiction - non-partisan; included.
State_Legislative_District,STRING,district,State Legislative District,true,Office-bearing district / geographic jurisdiction - non-partisan; included.
Borough,STRING,district,Borough,true,Office-bearing district / geographic jurisdiction - non-partisan; included.
Borough_Ward,STRING,district,Borough Ward,true,Office-bearing district / geographic jurisdiction - non-partisan; included.
City,STRING,district,City,true,Office-bearing district / geographic jurisdiction - non-partisan; included.
City_Council_Commissioner_District,STRING,district,City Council Commissioner District,true,Office-bearing district / geographic jurisdiction - non-partisan; included.
City_Mayoral_District,STRING,district,City Mayoral District,true,Office-bearing district / geographic jurisdiction - non-partisan; included.
City_Ward,STRING,district,City Ward,true,Office-bearing district / geographic jurisdiction - non-partisan; included.
Hamlet_Community_Area,STRING,district,Hamlet Community Area,true,Office-bearing district / geographic jurisdiction - non-partisan; included.
Proposed_City,STRING,district,Proposed City,true,Office-bearing district / geographic jurisdiction - non-partisan; included.
Proposed_City_Commissioner_District,STRING,district,Proposed City Commissioner District,true,Office-bearing district / geographic jurisdiction - non-partisan; included.
Town_Council,STRING,district,Town Council,true,Office-bearing district / geographic jurisdiction - non-partisan; included.
Town_District,STRING,district,Town District,true,Office-bearing district / geographic jurisdiction - non-partisan; included.
Town_Ward,STRING,district,Town Ward,true,Office-bearing district / geographic jurisdiction - non-partisan; included.
Township,STRING,district,Township,true,Office-bearing district / geographic jurisdiction - non-partisan; included.
Township_Ward,STRING,district,Township Ward,true,Office-bearing district / geographic jurisdiction - non-partisan; included.
